TRACK; 234629139
DESCRIPTION; A Charlie Brown Christmas - Christmastime is Here
LENGTH; 00:02:41:0
00:00:00:0; [Intro]
00:00:09:0; Christmas time is here
00:00:13:5; Happiness and cheer
00:00:18:3; Fun for all that children call
00:00:22:4; Their favorite time of the year
00:00:27:1; Snowflakes in the air
00:00:32:0; Carols everywhere
00:00:36:5; Olden times and ancient rhymes
00:00:40:8; Of love and dreams to share
00:00:45:4; Sleigh bells in the air
00:00:50:6; Beauty everywhere
00:00:55:0; Yuletide by the fireside
00:00:59:0; And joyful memories there
00:01:04:1; Christmas time is here
00:01:08:4; We'll be drawing near
00:01:13:5; Oh, that we could always see
00:01:17:1; Such spirit through the year
00:01:22:0; [Music]
00:02:00:0; Sleigh bells in the air
00:02:04:5; Beauty everywhere
00:02:09:0; Yuletide by the fireside
00:02:13:7; And joyful memories there
00:02:18:3; Christmas time is here
00:02:23:0; We'll be drawing near
00:02:27:7; Oh, that we could always see
00:02:32:3; Such spirit through the year
00:02:35:5; [Outro]
